opratDate,areaSdNm,areaSggNm,areaEmdNm,netInflow,floatingPop,numClosures,time,treatment
2023-01-18,부산광역시,연제구,연산동,-472.0,5290.0,3,0,0
2023-01-18,부산광역시,해운대구,좌동,177.0,2905.0,0,0,0
2023-01-18,부산광역시,해운대구,중동,13.0,2147.0,0,0,0
2023-01-19,부산광역시,남구,대연동,-243.0,3253.0,1,0,0
2023-01-19,부산광역시,부산진구,부전동,752.0,7476.0,0,0,0
2023-01-19,부산광역시,부산진구,전포동,-116.0,3464.0,2,0,0
2023-01-19,부산광역시,사상구,괘법동,100.0,1336.0,0,0,0
2023-01-19,부산광역시,사하구,하단동,-54.0,1806.0,0,0,0
2023-01-19,부산광역시,연제구,연산동,-653.0,5341.0,2,0,0
2023-01-19,부산광역시,해운대구,좌동,128.0,2964.0,0,0,0
2023-01-19,부산광역시,해운대구,중동,86.0,2034.0,0,0,0
2023-01-20,부산광역시,남구,대연동,-284.0,3306.0,0,0,0
2023-01-20,부산광역시,부산진구,부전동,749.0,7583.0,1,0,0
2023-01-20,부산광역시,부산진구,전포동,-18.0,3208.0,1,0,0
2023-01-20,부산광역시,사상구,괘법동,123.0,1497.0,0,0,0
2023-01-20,부산광역시,사하구,하단동,-82.0,1740.0,0,0,0
2023-01-20,부산광역시,연제구,연산동,-676.0,5756.0,1,0,0
2023-01-20,부산광역시,해운대구,좌동,250.0,2974.0,0,0,0
2023-01-20,부산광역시,해운대구,중동,-62.0,2078.0,0,0,0
2023-01-21,부산광역시,남구,대연동,-165.0,1631.0,0,0,0
2023-01-21,부산광역시,부산진구,부전동,421.0,4233.0,0,0,0
2023-01-21,부산광역시,부산진구,전포동,-85.0,1271.0,0,0,0
2023-01-21,부산광역시,사상구,괘법동,73.0,867.0,0,0,0
2023-01-21,부산광역시,사하구,하단동,-115.0,1079.0,0,0,0
2023-01-21,부산광역시,연제구,연산동,-238.0,3350.0,0,0,0
2023-01-21,부산광역시,해운대구,좌동,150.0,1680.0,0,0,0
2023-01-21,부산광역시,해운대구,중동,-41.0,1279.0,0,0,0
2023-01-22,부산광역시,남구,대연동,-46.0,1226.0,0,0,0
2023-01-22,부산광역시,부산진구,부전동,218.0,2400.0,0,0,0
2023-01-22,부산광역시,부산진구,전포동,-75.0,781.0,0,0,0
2023-01-22,부산광역시,사상구,괘법동,4.0,644.0,0,0,0
2023-01-22,부산광역시,사하구,하단동,22.0,800.0,0,0,0
2023-01-22,부산광역시,연제구,연산동,-233.0,2033.0,0,0,0
2023-01-22,부산광역시,해운대구,좌동,69.0,1169.0,0,0,0
2023-01-22,부산광역시,해운대구,중동,41.0,895.0,0,0,0
2023-01-23,부산광역시,남구,대연동,-103.0,1707.0,0,0,0
2023-01-23,부산광역시,부산진구,부전동,444.0,4180.0,0,0,0
2023-01-23,부산광역시,부산진구,전포동,-153.0,1195.0,0,0,0
2023-01-23,부산광역시,사상구,괘법동,-66.0,786.0,0,0,0
2023-01-23,부산광역시,사하구,하단동,-10.0,1102.0,0,0,0
2023-01-23,부산광역시,연제구,연산동,-187.0,3161.0,0,0,0
2023-01-23,부산광역시,해운대구,좌동,104.0,1630.0,0,0,0
2023-01-23,부산광역시,해운대구,중동,-29.0,1247.0,0,0,0
2023-01-24,부산광역시,남구,대연동,-146.0,1348.0,0,0,0
2023-01-24,부산광역시,부산진구,부전동,336.0,3298.0,0,0,0
2023-01-24,부산광역시,부산진구,전포동,-43.0,1179.0,0,0,0
2023-01-24,부산광역시,사상구,괘법동,-110.0,668.0,0,0,0
2023-01-24,부산광역시,사하구,하단동,-9.0,859.0,0,0,0
2023-01-24,부산광역시,연제구,연산동,-99.0,2511.0,0,0,0
2023-01-24,부산광역시,해운대구,좌동,58.0,1308.0,0,0,0
2023-01-24,부산광역시,해운대구,중동,13.0,1007.0,0,0,0
2023-01-25,부산광역시,남구,대연동,-265.0,2869.0,2,0,0
2023-01-25,부산광역시,부산진구,부전동,464.0,5364.0,0,0,0
2023-01-25,부산광역시,부산진구,전포동,-79.0,2993.0,1,0,0
2023-01-25,부산광역시,사상구,괘법동,12.0,1110.0,1,0,0
2023-01-25,부산광역시,사하구,하단동,-64.0,1334.0,0,0,0
2023-01-25,부산광역시,연제구,연산동,-165.0,4203.0,1,0,0
2023-01-25,부산광역시,해운대구,좌동,119.0,2375.0,0,0,0
2023-01-25,부산광역시,해운대구,중동,-22.0,1818.0,1,0,0
2023-01-26,부산광역시,남구,대연동,-214.0,3106.0,0,0,0
2023-01-26,부산광역시,부산진구,부전동,490.0,6118.0,1,0,0
2023-01-26,부산광역시,부산진구,전포동,-23.0,3221.0,0,0,0
2023-01-26,부산광역시,사상구,괘법동,33.0,1211.0,0,0,0
2023-01-26,부산광역시,사하구,하단동,-76.0,1566.0,0,0,0
2023-01-26,부산광역시,연제구,연산동,-348.0,4580.0,0,0,0
2023-01-26,부산광역시,해운대구,좌동,195.0,2623.0,0,0,0
2023-01-26,부산광역시,해운대구,중동,-57.0,1981.0,1,0,0
2023-01-27,부산광역시,남구,대연동,-197.0,3177.0,1,0,0
2023-01-27,부산광역시,부산진구,부전동,601.0,6409.0,1,0,0
2023-01-27,부산광역시,부산진구,전포동,-82.0,3506.0,1,0,0
2023-01-27,부산광역시,사상구,괘법동,71.0,1263.0,0,0,0
2023-01-27,부산광역시,사하구,하단동,-121.0,1701.0,1,0,0
2023-01-27,부산광역시,연제구,연산동,-306.0,4672.0,2,0,0
2023-01-27,부산광역시,해운대구,좌동,100.0,2724.0,0,0,0
2023-01-27,부산광역시,해운대구,중동,-66.0,2072.0,1,0,0
2023-01-28,부산광역시,남구,대연동,-227.0,2371.0,0,0,0
2023-01-28,부산광역시,부산진구,부전동,632.0,5604.0,0,0,0
2023-01-28,부산광역시,부산진구,전포동,-186.0,1896.0,0,0,0
2023-01-28,부산광역시,사상구,괘법동,3.0,1093.0,0,0,0
2023-01-28,부산광역시,사하구,하단동,-53.0,1477.0,0,0,0
2023-01-28,부산광역시,연제구,연산동,-350.0,4016.0,0,0,0
2023-01-28,부산광역시,해운대구,좌동,159.0,2181.0,0,0,0
2023-01-28,부산광역시,해운대구,중동,22.0,1564.0,0,0,0
2023-01-29,부산광역시,남구,대연동,-110.0,1742.0,0,0,0
2023-01-29,부산광역시,부산진구,부전동,409.0,4129.0,0,0,0
2023-01-29,부산광역시,부산진구,전포동,-62.0,1500.0,0,0,0
2023-01-29,부산광역시,사상구,괘법동,32.0,808.0,0,0,0
2023-01-29,부산광역시,사하구,하단동,-65.0,1157.0,0,0,0
2023-01-29,부산광역시,연제구,연산동,-296.0,2980.0,0,0,0
2023-01-29,부산광역시,해운대구,좌동,125.0,1701.0,0,0,0
